################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
# x1 reflects Algerian culture/nationality in aspect x2                                           
#jerxo1:DSAP;
#jerxo2:DSAP;
#
# x1 is a needle [pointed shape/form, not tool] of material x2                                    
#jesni1:DSAP;
#jesni2:DSAP;
#
# x1 is a jet [expelled stream] of material x2 expelled from x3                                   
#jetce1:DSAP;
#jetce2:DSAP;
#jetce3:DSAP;
#
# x1 (du'u) is true/truth by standard/epistemology/metaphysics x2                                 
jetnu1:P;true
jetnu2:D;standard* for truth
#
# x1 is a/the claw/nail/talon [body-part] of x2; [metaphor: pointed, penetrating, physical weapon]
#jgalu1:DSAP;
#jgalu2:DSAP;
#
# x1 is an angle [2-dimensional shape/form] from vertex x2 subtended by lateral [segment] x3      
#jganu1:DSAP;
#jganu2:DSAP;
#jganu3:DSAP;
#
# x1 grasps/holds/clutches/seizes/grips/[hugs] x2 with x3 (part of x1) at locus x4 (part of x2)   
jgari1:A;hold
jgari2:P;held
jgari3:S;means for holding
jgari3t:means
jgari4:D;locus of hold
jgari4n:locus/i of hold
jgari4t:held at
#
# x1 is a knot/tangle in/between x2 (object/jo'u-objects)                                         
#jgena1:DSAP;
#jgena2:DSAP;
#
# x1 is a gene of creature [or locus on creature] x2 determining trait/process x3                 
#jgina1:DSAP;
#jgina2:DSAP;
#jgina3:DSAP;
#
# x1 (person) feels/has pride in/about x2 (abstraction)                                           
#jgira1:DSAP;
#jgira2:DSAP;
#
# x1 is guitar/violin/fiddle/harp [stringed musical instrument] with actuator/plectrum/bow x2     
#jgita1:DSAP;
#jgita2:DSAP;
#
# x1 is near/close to/approximates x2 in property/quantity x3 (ka/ni)                             
#jibni1:DSAP;
#jibni2:DSAP;
#jibni3:DSAP;
#
# x1 is a job/occupation/employment/vocation (a type of work regularly done for pay) of person x2 
#jibri1:DSAP;
#jibri2:DSAP;
#
# x1 (object, or event: force) stirs/mixes/[roils/agitates] fluid (gas/liquid) x2                 
#jicla1:DSAP;
#jicla2:DSAP;
#
# x1 is a basis/foundation/underlying or fundamental principle of x2; x1 is at the bottom of x2   
jicmu1:D;foundation
jicmu2:R;having foundations
#
# x1 (person) intuits x2 (du'u) about subject x3; [epistemology]                                  
#jijnu1:DSAP;
#jijnu2:DSAP;
#
# x1 interacts/behaves socially with x2; x1 socializes with/is sociable towards x2                
#jikca1:DSAP;
#jikca2:DSAP;
#
# x1 is made of/contains/is a quantity of liquor/spirits distilled from x2                        
#jikru1:DSAP;
#jikru2:DSAP;
#
# x1 is a quantity of/contains/is made of alkali/base of composition including x2                 
#jilka1:DSAP;
#jilka2:DSAP;
#
# x1 (person) is jealous of/envies x2 (person) about/for x3 (property - ka)                       
#jilra1:DSAP;
#jilra2:DSAP;
#jilra3:DSAP;
#
# x1 is a branch/bough/limb of x2; x2 forks into branches x1; [preferred over metaphorical birka] 
#jimca1:DSAP;
#jimca2:DSAP;
#
# x1 understands/comprehends fact/truth x2 (du'u) about subject x3; x1 understands (fi) x3        
jimpe1:A;understand
jimpe2:D;understood fact
jimpe3:D;understood subject
#
# x1 is a limit/extreme/bound/border/[confinement] of x2 in property/domain x3                    
#jimte1:DSAP;
#jimte2:DSAP;
#jimte3:DSAP;
#
# x1 is a pair of shears/scissors for cutting x2                                                  
#jinci1:DSAP;
#jinci2:DSAP;
#
# x1 (person/team) wins/gains prize x2 from/over x3 [competitors/losers] in competition x4        
#jinga1:DSAP;
#jinga2:DSAP;
#jinga3:DSAP;
#jinga4:DSAP;
#
# x1 is a vaccine/immune-system stimulant protecting x2 against disease x3 introduced by method x4
#jinku1:DSAP;
#jinku2:DSAP;
#jinku3:DSAP;
#
# x1 is a quantity of/contains/is made of made of metal of composition including x2               
#jinme1:DSAP;
#jinme2:DSAP;
#
# x1 (object/person) is immersed/submerged/bathes in liquid x2                                    
#jinru1:DSAP;
#jinru2:DSAP;
#
# x1 (object) is clean/pure of material/contaminant/dirt x2 by standard x3                        
#jinsa1:DSAP;
#jinsa2:DSAP;
#jinsa3:DSAP;
#
# x1 is a well/spring of fluid x2 at location x3                                                  
#jinto1:DSAP;
#jinto2:DSAP;
#jinto3:DSAP;
#
# x1 thinks/opines x2 [opinion] (du'u) is true about subject/issue x3 on grounds x4               
jinvi1:A;have* opinion
jinvi2:D;opinion
jinvi3:D;subject* of opinion
jinvi4:S;grounds for opinion
#
# x1 (property - ka) is an innate/inherent/intrinsic/natural property/quality/aspect of x2        
#jinzi1:DSAP;
#jinzi2:DSAP;
#
# x1 is a chicken/[hen/cock/rooster]/small fowl [a type of bird] of species/breed x2              
#jipci1:DSAP;
#jipci2:DSAP;
#
# x1 is a tip/point/vertex/extremity/end [0-dimension shape/form] on object x2 at locus x3        
#jipno1:DSAP;
#jipno2:DSAP;
#jipno3:DSAP;
#
# x1 is a/the horn [body-part] of x2; [metaphor: pointed extremity]                               
#jirna1:DSAP;
#jirna2:DSAP;
#jirna3:DSAP;
#
# x1 is made of/contains/is a quantity of juice/nectar from-source/of-type x2                     
#jisra1:DSAP;
#jisra2:DSAP;
#
# x1 (du'u) is false/is an untruth by standard/epistemology/metaphysics x2                        
#jitfa1:DSAP;
#jitfa2:DSAP;
#
# x1 has control over/harnesses/manages/directs/conducts x2 in x3 (activity/event/performance)    
jitro1:A;control
jitro2:P;under control
jitro3:D;controlled activity
#
# x1 weaves x2 from material/[yarn] x3                                                            
#jivbu1:DSAP;
#jivbu2:DSAP;
#jivbu3:DSAP;
#
# x1 competes/vies with opponent x2 in contest/competition x3 (event) for gain x4; x1 rivals x2   
#jivna1:DSAP;
#jivna2:DSAP;
#jivna3:DSAP;
#
# x1 (mass/jo'u) gathers/collects at location x2 from locations x3 (mass/jo'u)                    
jmaji1:I;gather
jmaji2:D;location* of gathering
jmaji3:D;origin* of gathering
#
# x1 is a shoal [shallow hazard]/reef of material x2 in body of water x3                          
#jmifa1:DSAP;
#jmifa2:DSAP;
#jmifa3:DSAP;
#
# x1 adds/combines x2 to/with x3, with result x4; x1 augments x2 by amount x3                     
#jmina1:DSAP;
#jmina2:DSAP;
#jmina3:DSAP;
#
# x1 lives/is alive by standard x2; x1 is an organism/living thing                                
jmive1:A;live
jmive2:D;standard* of living
#
# x1 reflects Jordanian culture/nationality in aspect x2                                          
#jordo1:DSAP;
#jordo2:DSAP;
#
# x1 is joined to/connects to/is united with x2 at common locus x3; x1 and x2 are a union         
#jorne1:DSAP;
#jorne2:DSAP;
#
# x1 is a table/flat solid upper surface of material x2, supported by legs/base/pedestal x3       
#jubme1:DSAP;
#jubme2:DSAP;
#jubme3:DSAP;
#
# x1 is an address of/are coordinates of x2 in system x3                                          
#judri1:DSAP;
#judri2:DSAP;
#judri3:DSAP;
#
# x1 (text) is a sentence/statement about x2 [topic/subject/predicate/focus] in language x3       
#jufra1:DSAP;
#jufra2:DSAP;
#jufra3:DSAP;
#
# x1 is a spider/arachnid/[crustacean/crab/lobster/non-insect arthropod] of species/breed x2      
#jukni1:DSAP;
#jukni2:DSAP;
#
# x1 cooks/prepares food-for-eating x2 by recipe/method x3 (process)                              
#jukpa1:DSAP;
#jukpa2:DSAP;
#jukpa3:DSAP;
#
# x1 is a net/filter allowing passage of x2, prohibiting passage of x3, netting properties x4     
#julne1:DSAP;
#julne2:DSAP;
#julne3:DSAP;
#julne4:DSAP;
#
# x1 is attentive towards/attends/tends/pays attention to object/affair x2                        
#jundi1:DSAP;
#jundi2:DSAP;
#
# x1 reflects Chinese [Mandarin, Cantonese, Wu, etc.] culture/nationality/language in aspect x2   
#jungo1:DSAP;
#jungo2:DSAP;
#
# x1 is clock/watch/timer measuring time units x2 to precision x3 with timing mechanism/method x4 
junla1:D;timer
junla2:D;time unit
junla3:S;timing precision
junla3t:precision
junla4:D;timing mechanism
junla4t:mechanism
#
# x1 (person) is serious/earnest/has gravity about x2 (event/state/activity)                      
#junri1:DSAP;
#junri2:DSAP;
#
# x1 is the weight of object x2 in [gravitational or other force] field x3                        
#junta1:DSAP;
#junta2:DSAP;
#junta3:DSAP;
#
# x1 is a bacteria/germ/microbe/protozoan/amoeba [1-celled life] of species/defining property x2  
#jurme1:DSAP;
#jurme2:DSAP;
#
# x1 (event/action/state) is severe/harsh to x2 [victim/experiencer]                              
#jursa1:DSAP;
#jursa2:DSAP;
#
# x1 is a species of genus x2, family x3, etc.; [open-ended tree-structure categorization]        
#jutsi1:DSAP;
#jutsi2:DSAP;
#
# x1 (action) is clumsy/awkward by standard x2                                                    
#juxre1:DSAP;
#juxre2:DSAP;
#
# x1 is the view/scene/panorama/sight/prospect of x2 (object/location) from point-of-view x3      
jvinu1:D;view
jvinu2:P;viewed
jvinu3:D;viewpoint
#
# x1 is a cup/glass/tumbler/mug/vessel/[bowl] containing contents x2, and of material x3          
kabri1:D;cup
kabri2:S;cup contents
kabri2t:contents
kabri3:S;cup material
kabri3t:of material
#
# x1 is a camera/photographic equipment recording illumination type x2 images to medium x3        
kacma1:D;camera
kacma2:D;image type
kacma3:D;photographic medium
kacma3t:medium
#
# x1 reflects Canadian culture/nationality in aspect x2                                           
#kadno1:DSAP;
#kadno2:DSAP;
#
# x1 coughs/farts/burps up/out x2 [predominantly gaseous] from orifice x3                         
kafke1:A;cough
kafke2:P;coughed
kafke3:D;coughing orifices
kafke3t:from orifice
#
# x1 is a company/corporation/firm/partnership chartered by authority x2 for purpose x3           
kagni1:D;corporation
kagni2:D;authority* chartering corporation
kagni2t:by authority of
kagni3:D;corporation purpose
kagni3t:exists for purpose
#
# x1 (event/experience) warns/cautions x2 (person) of/about danger x3 (event/state/property)      
kajde1:A;warn
kajde2:P;warned
kajde3:D;danger* warned of
kajde3t:danger
#
# x1 is a shelf/counter/bar in/on/attached to supporting object x2, for purpose x3                
kajna1:D;shelf
kajna2:R;supported by shelf
kajna2t:supported thing
kajna3:D;purpose* of shelf
kajna3t:for purpose
#
# x1 is able to do/be/capable of doing/being x2 (event/state) under conditions x3 (event/state)   
kakne1:P;capable
kakne2n:thing(s) that can be done
kakne2v:able to be done
kakne2a:can be done
kakne2t:can be done
kakne3:S;conditions for capability
kakne3t:conditions
#
# x1 (agent) digs x2 [material] up/out of x3 [source/hole] with limbs/tool(s) x4                  
kakpa1:A;dig
kakpa2:P;dug
kakpa3:R;dug from
kakpa4:D;digging tool
kakpa4t:using
#
# x1 is a/the feces/excrement/dung/shit of x2 (animal/person); (adjective:) x1 is fecal (matter)  
#kalci1:DSAP;
#kalci2:DSAP;
#
# x1 (portal/passage/entrance-way) is open/ajar/not shut permitting passage/access to x2 by x3    
kalri1:P;open
kalri2:R;reachable through open portal
kalri2t:reachable
kalri3:R;given access by open portal
kalri3t:given access
#
# x1 is chaotic/disordered in property/aspect x2 (ka)                                             
kalsa1:P;chaotic
kalsa2:S;chaotic property
kalsa2t:in propery
#
# x1 hunts/stalks prey/quarry/game x2 for purpose x3                                              
kalte1:A;hunt
kalte2:P;hunted
kalte3:S;purpose of hunt
#
# x1 is a column/pillar of material x2                                                            
kamju1:D;pillar
kamju2:S;material of pillar
kamju2t:of material
#
# x1 (mass) is a committee with task/purpose x2 of body x3                                        
kamni1:D;committee
kamni2:D;committee purpose
kamni2t:for purpose
kamni3:D;body* with committee
kamni3t:of body
#
# x1 (property - ka) is common/general/universal among members of set x2 (complete set)           
kampu1:P;common/general
kampu2:S;set with commonality
kampu2t:amongst
#
# x1 is a goat/angora/[billy-goat/kid] of species/breed x2                                        
kanba1:D;goat
kanba2:S;goat species
kanba2t:of species
#
# x1 (agent) counts the number in set x2 to be x3 [number/count] counting [off] by units x4       
#kancu1:DSAP;
#kancu2:DSAP;
#kancu3:DSAP;
#kancu4:DSAP;
#
# x1 is dim/dull/pale/non-intense in property x2 (ka) as received/measured by observer x3         
kandi1:P;non-intense
kandi2:S;non-intense property
kandi2t:in property
kandi3:A;measure* non-intensity
kandi3t:to observer
#
# x1 calculates/reckons/computes x2 [value (ni)/state] from data x3 by process x4                 
kanji1:A;calculate
kanji2:D;calculated value
kanji2t:value
kanji3:S;data for calculation
kanji3t:from data
kanji4:D;calculation process
kanji4t:using process
#
# x1 is a/the eye [body-part] of x2; [metaphor: sensory apparatus]; (adjective:) x1 is ocular     
kanla1:D;eye
kanla2:D;body* with eye
#
# x1 is healthy/fit/well/in good health by standard x2                                            
kanro1:P;healthy
kanro2:S;standard of health
#
# x1 is with/accompanies/is a companion of x2, in state/condition/enterprise x3 (event/state)     
kansa1:A;accompany
kansa2:P;accompanied
kansa3:D;circumstance* of accompaniment
#
# x1 is a quantum/ray/elementary particle/smallest measurable increment of property/activity x2   
kantu1:D;quantum
kantu1n:quantum/-a
kantu2:P;quantised
#
# x1 is a conjunction, stating that x2 (du'u) and x3 (du'u) are both true                         
#kanxe1:DSAP;
#kanxe2:DSAP;
#kanxe3:DSAP;
#
# x1 [observer] compares x2 with x3 in property x4 (ka), determining comparison x5 (state)        
karbi1:A;compare
karbi2:P;compared
karbi3:P;compared
karbi4:D;compared property
karbi4t:in property
karbi5:D;comparison
#
# x1 is a car/automobile/truck/van [a wheeled motor vehicle] for carrying x2, propelled by x3     
karce1:D;car
karce2:D;car passenger
karce3:D;car engine
#
# x1 is a card [small nearly-2-dimensional shape/form] of material x2, shape x3                   
karda1:D;card
karda2:S;card material
karda2t:of material
karda3:D;card shape
karda3t:of shape
#
# x1 (object/commodity/property/event) is costly/expensive/dear to x2 by standard x3              
kargu1:P;expensive
kargu2:A;experience* expensive
kargu2t:expensive for
kargu3:S;standard for cost
kargu3t:by standard
#
# x1 is a collar/ring/belt/band around/surrounding x2 made of material x3                         
karli1:D;collar
karli2:R;surrounded by collar
karli2t:thing surrounded
karli3:S;collar material
karli3t:of material
#
# x1 is a journal/periodical/magazine/[newspaper] with content x2 published by x3 for audience x4 
karni1:D;journal
karni2:S;journal contents
karni2t:with contents
karni3:D;journal publisher
karni3t:with publisher
karni4:D;journal audience
karni4t:with audience
#
# x1 (tool/blade/force) cuts [through]/splits/divides x2 (object) into pieces x3                  
katna1:A;cut
katna2:P;cut
katna3:D;piece* resulting from cut
katna3t:into pieces
#
# x1 captures/catches/apprehends/seizes/nabs x2 with trap/restraint x3                            
kavbu1:A;capture
kavbu2:P;captured
kavbu3:D;trap* used for capture
#
# x1 (person) pities/feels sorry for x2 (person) about x3 (abstraction)                           
kecti1:A;feel* sorrow
kecti2:A;receive* pity
kecti3:D;reason* for sorrow
kecti3t:for reason
#
# x1 [agent] plays with plaything/toy x2                                                          
kelci1:A;play
kelci2:D;toy
#
# x1 is x2 degree(s) Kelvin [metric unit] in temperature (default is 1) by standard x3            
#kelvo1:DSAP;
#kelvo2:DSAP;
#kelvo3:DSAP;
#
# x1 is a cancer [malignant disease] in x2                                                        
kenra1:D;cancer
kenra2:P;cancerous
#
# x1 is outer space near/associated with celestial body/region x2                                 
kensa1:S;outer space
kensa2:D;location* in outer space
kensa2t:at location
#
# x1 is a/the hair/fur [body-part] of x2 at body location x3                                      
kerfa1:S;hair
kerfa2:D;body* with hair
kerfa3:D;location* of hair
kerfa3t:location
#
# x1 is a/the ear [body-part] of x2; [metaphor: sensory apparatus, information gathering]         
kerlo1:D;ear
kerlo2:D;body* with ear
kerlo2t:on body
#
# x1 reflects South American culture/nationality/geography in aspect x2                           
#ketco1:DSAP;
#ketco2:DSAP;
#
# x1 is a cavity/hole/hollow/cavern in x2; x1 is concave within x2; x2 is hollow at locus x1      
